IP,PORT,匿名度,类型,位置,响应速度,最后验证时间
182.206.143.139,3128,透明,HTTP,辽宁省 沈阳市,1秒,2015-05-23 01:30:43,
49.94.13.176,3128,透明,HTTP,江苏省 南京市,0.5秒,2015-05-23 00:30:51,
221.7.145.94,8080,透明,HTTP,广西壮族自治区桂林市,0.5秒,2015-05-22 23:31:00,
117.37.237.115,3128,透明,HTTP,陕西省 西安市,0.9秒,2015-05-22 22:31:00,
49.91.41.128,3128,透明,HTTP,江苏省 南京市,1.0秒,2015-05-22 21:31:01,
123.247.184.61,80,透明,HTTP,辽宁省 沈阳市,3秒,2015-05-22 20:30:44,
49.94.4.242,3128,透明,HTTP,江苏省 南京市,0.8秒,2015-05-22 19:31:01,
113.140.118.196,80,透明,HTTP,陕西省 西安市,1秒,2015-05-22 18:31:01,
49.91.4.175,80,透明,HTTP,江苏省 南京市,2秒,2015-05-22 17:30:59,
49.94.24.7,3128,透明,HTTP,江苏省 南京市,2秒,2015-05-22 16:30:43,
49.93.37.157,80,透明,HTTP,江苏省 南京市,3秒,2015-05-22 15:31:04,
110.176.6.111,3128,透明,HTTP,山西省 太原市,3秒,2015-05-22 14:30:42,
106.34.57.94,80,透明,HTTP,河南省 郑州市,0.9秒,2015-05-22 13:30:46,
49.93.232.55,80,透明,HTTP,江苏省 南京市,2秒,2015-05-22 12:30:44,
171.82.95.221,80,透明,HTTP,湖北省 武汉市,1秒,2015-05-22 11:30:55,
58.251.234.136,9000,透明,HTTP,广东省 深圳市,3秒,2015-05-22 10:31:01,
49.91.38.177,3128,透明,HTTP,江苏省 南京市,1秒,2015-05-22 09:30:57,
14.25.47.7,3128,透明,HTTP,广东省 广州市,0.9秒,2015-05-22 08:30:50,
49.91.19.168,80,透明,HTTP,江苏省 南京市,0.5秒,2015-05-22 07:30:41,
49.90.14.241,3128,透明,HTTP,江苏省 南京市,3秒,2015-05-22 06:30:59,
221.6.92.53,55336,透明,HTTP,江苏省 苏州市,2秒,2015-05-22 05:30:48,
49.91.38.173,80,透明,HTTP,江苏省 南京市,1秒,2015-05-22 04:31:00,
1.183.216.8,8080,透明,HTTP,内蒙古 内蒙古自治区呼和浩特市,1秒,2015-05-22 03:30:22,
221.6.92.23,55336,透明,HTTP,江苏省 苏州市,1秒,2015-05-22 02:30:58,
58.59.68.91,9797,透明,HTTP,山东省 威海市,3秒,2015-05-22 01:31:01,
61.145.217.108,8001,透明,HTTP,广东省 东莞市,2秒,2015-05-22 00:30:58,
119.123.107.222,9797,透明,HTTP,广东省 深圳市,2秒,2015-05-21 23:30:27,
49.94.150.23,3128,透明,HTTP,江苏省 南京市,3秒,2015-05-21 22:30:54,
61.141.186.241,9000,透明,HTTP,广东省 深圳市,2秒,2015-05-21 21:30:26,
182.206.32.71,80,透明,HTTP,辽宁省 沈阳市,2秒,2015-05-21 20:30:55,
58.251.169.132,9797,透明,HTTP,广东省 深圳市,1秒,2015-05-21 19:30:40,
110.176.193.70,80,透明,HTTP,山西省 太原市,2秒,2015-05-21 18:30:21,
125.88.150.4,8080,透明,HTTP,广东省 佛山市,1秒,2015-05-21 17:30:59,
49.94.164.142,80,透明,HTTP,江苏省 南京市,2秒,2015-05-21 16:30:53,
49.94.132.173,3128,透明,HTTP,江苏省 南京市,3秒,2015-05-21 15:31:04,
49.94.161.6,3128,透明,HTTP,江苏省 南京市,2秒,2015-05-21 14:30:54,
125.93.73.118,9999,透明,HTTP,广东省 东莞市,3秒,2015-05-21 13:31:03,
49.91.13.105,3128,透明,HTTP,江苏省 南京市,1秒,2015-05-21 12:30:25,
110.176.104.49,80,透明,HTTP,山西省 太原市,2秒,2015-05-21 11:31:03,
163.125.20.255,9999,透明,HTTP,广东省 深圳市,3秒,2015-05-21 10:30:59,
49.93.205.47,80,透明,HTTP,江苏省 南京市,3秒,2015-05-21 09:30:50,
119.127.210.68,9000,透明,HTTP,广东省 东莞市,3秒,2015-05-21 08:30:56,
106.60.73.156,80,透明,HTTP,云南省 昆明市,1.0秒,2015-05-21 07:31:00,
36.42.133.240,80,透明,HTTP,陕西省 西安市,3秒,2015-05-21 06:31:03,
163.125.70.149,8888,透明,HTTP,广东省 深圳市,0.8秒,2015-05-21 05:31:04,
123.173.190.70,80,透明,HTTP,吉林省 长春市,1秒,2015-05-21 04:31:02,
183.51.149.65,9797,透明,HTTP,广东省 惠州市,3秒,2015-05-21 03:30:42,
124.116.242.231,3128,透明,HTTP,陕西省 宝鸡市,3秒,2015-05-21 02:31:00,
110.176.11.96,80,透明,HTTP,山西省 太原市,3秒,2015-05-21 01:31:00,
106.60.66.221,80,透明,HTTP,云南省 昆明市,1秒,2015-05-21 00:30:58,
49.90.15.146,3128,透明,HTTP,江苏省 南京市,0.7秒,2015-05-20 23:30:43,
113.74.83.65,9797,透明,HTTP,广东省 珠海市,0.5秒,2015-05-20 22:30:41,
36.43.160.56,80,透明,HTTP,陕西省 西安市,3秒,2015-05-20 21:30:51,
183.40.117.60,3128,透明,HTTP,广东省 广州市,2秒,2015-05-20 20:30:53,
171.82.95.109,80,透明,HTTP,湖北省 武汉市,2秒,2015-05-20 19:30:49,
113.76.181.173,9797,透明,HTTP,广东省 珠海市,3秒,2015-05-20 18:31:01,
49.94.28.90,80,透明,HTTP,江苏省 南京市,2秒,2015-05-20 17:30:56,
49.94.161.51,80,透明,HTTP,江苏省 南京市,0.5秒,2015-05-20 16:30:51,
106.34.34.47,80,透明,HTTP,河南省 郑州市,2秒,2015-05-20 15:30:57,
49.93.4.220,80,透明,HTTP,江苏省 南京市,3秒,2015-05-20 14:30:59,
163.125.20.255,9999,透明,HTTP,广东省 深圳市,3秒,2015-05-20 13:30:43,
110.176.105.149,3128,透明,HTTP,山西省 太原市,1秒,2015-05-20 12:31:01,
42.225.32.254,9999,透明,HTTP,河南省 平顶山市,1秒,2015-05-20 11:31:03,
113.109.116.181,9797,透明,HTTP,广东省 广州市,0.6秒,2015-05-20 10:31:01,
49.91.6.125,3128,透明,HTTP,江苏省 南京市,1秒,2015-05-20 09:30:58,
182.206.163.170,3128,透明,HTTP,辽宁省 沈阳市,3秒,2015-05-20 08:30:49,
49.94.140.247,3128,透明,HTTP,江苏省 南京市,2秒,2015-05-20 07:31:03,
182.121.153.235,9999,透明,HTTP,河南省 洛阳市,1秒,2015-05-20 06:30:51,
58.50.212.55,9797,透明,HTTP,湖北省 宜昌市,1秒,2015-05-20 05:30:57,
122.228.92.73,8000,透明,HTTP,浙江省 温州市,3秒,2015-05-20 04:31:00,
163.125.215.71,9999,透明,HTTP,广东省 深圳市,1秒,2015-05-20 03:30:57,
222.134.225.241,9000,透明,HTTP,山东省 东营市,3秒,2015-05-20 02:31:00,
27.38.152.14,9999,透明,HTTP,广东省 深圳市,3秒,2015-05-20 01:31:01,
27.46.21.44,8888,透明,HTTP,广东省 深圳市,0.4秒,2015-05-20 00:30:57,
124.115.211.30,9999,透明,HTTP,陕西省 咸阳市,2秒,2015-05-19 23:31:03,
1.183.216.187,8080,透明,HTTP,内蒙古 内蒙古自治区呼和浩特市,3秒,2015-05-19 22:30:17,
106.17.215.157,80,透明,HTTP,湖南省 长沙市,3秒,2015-05-19 21:31:01,
106.17.85.201,80,透明,HTTP,湖南省 长沙市,1秒,2015-05-19 20:30:33,
119.127.184.242,9000,透明,HTTP,广东省 东莞市,1秒,2015-05-19 19:31:05,
36.41.0.38,80,透明,HTTP,陕西省 西安市,1秒,2015-05-19 18:30:37,
58.252.6.164,8080,透明,HTTP,广东省 东莞市,3秒,2015-05-19 17:30:48,
182.205.17.12,3128,透明,HTTP,辽宁省 沈阳市,2秒,2015-05-19 16:30:57,
182.205.151.103,3128,透明,HTTP,辽宁省 沈阳市,1秒,2015-05-19 15:30:47,
14.24.221.163,3128,透明,HTTP,广东省 广州市,3秒,2015-05-19 14:31:01,
49.91.33.208,3128,透明,HTTP,江苏省 南京市,3秒,2015-05-19 13:31:00,
49.93.39.49,3128,透明,HTTP,江苏省 南京市,3秒,2015-05-19 12:30:39,
49.91.34.191,80,透明,HTTP,江苏省 南京市,2秒,2015-05-19 11:31:01,
120.194.185.99,9797,透明,HTTP,河南省 安阳市,3秒,2015-05-19 10:31:04,
106.34.32.81,3128,透明,HTTP,河南省 郑州市,2秒,2015-05-19 09:31:01,
49.94.144.141,80,透明,HTTP,江苏省 南京市,2秒,2015-05-19 08:30:43,
106.34.165.181,3128,透明,HTTP,河南省 郑州市,0.4秒,2015-05-19 07:30:54,
123.173.160.252,80,透明,HTTP,吉林省 长春市,1秒,2015-05-19 06:30:51,
14.156.45.35,9000,透明,HTTP,广东省 东莞市,3秒,2015-05-19 05:30:52,
120.82.244.56,8080,透明,HTTP,广东省 佛山市,1秒,2015-05-19 04:31:01,
111.74.221.86,9797,透明,HTTP,江西省 萍乡市,3秒,2015-05-19 03:30:22,
222.128.171.179,9000,透明,HTTP,北京市,2秒,2015-05-19 02:30:44,
113.105.195.250,8080,透明,HTTP,广东省 佛山市,1秒,2015-05-19 01:30:34,
111.192.55.95,9000,透明,HTTP,北京市,1秒,2015-05-19 00:31:03,
111.204.0.193,9999,透明,HTTP,北京市,1秒,2015-05-18 23:30:37,
121.24.250.196,8080,透明,HTTP,河北省 邯郸市,0.6秒,2015-05-18 22:30:30,
116.22.184.44,8088,透明,HTTP,广东省 广州市,0.3秒,2015-05-18 21:30:57,
61.145.217.106,8001,透明,HTTP,广东省 东莞市,3秒,2015-05-18 20:31:03,
115.238.225.25,80,透明,HTTP,浙江省 湖州市,1秒,2015-05-18 19:31:03,
49.94.150.228,80,透明,HTTP,江苏省 南京市,1秒,2015-05-18 18:31:01,
14.110.134.249,80,透明,HTTP,重庆市,2秒,2015-05-18 17:31:01,
163.142.239.29,8080,透明,HTTP,广东省 佛山市,2秒,2015-05-18 16:31:01,
49.93.223.105,80,透明,HTTP,江苏省 南京市,1秒,2015-05-18 15:30:58,
117.12.165.148,9999,透明,HTTP,天津市,3秒,2015-05-18 14:30:56,
163.125.16.17,8888,透明,HTTP,广东省 深圳市,0.8秒,2015-05-18 13:31:01,
183.184.56.5,9797,透明,HTTP,山西省 太原市,1秒,2015-05-18 12:31:01,
49.91.12.102,80,透明,HTTP,江苏省 南京市,2秒,2015-05-18 11:31:01,
36.42.132.103,80,透明,HTTP,陕西省 西安市,3秒,2015-05-18 10:30:59,
117.158.1.210,9999,透明,HTTP,河南省 郑州市,1秒,2015-05-18 09:31:04,
171.9.237.98,80,透明,HTTP,河南省 郑州市,2秒,2015-05-18 08:30:28,
113.103.37.39,9000,透明,HTTP,广东省 广州市,1秒,2015-05-18 07:30:59,
106.34.127.200,80,透明,HTTP,河南省 郑州市,3秒,2015-05-18 06:30:49,
36.42.147.81,80,透明,HTTP,陕西省 西安市,3秒,2015-05-18 05:30:59,
163.125.219.80,9999,透明,HTTP,广东省 深圳市,2秒,2015-05-18 04:30:53,
180.139.151.183,9797,透明,HTTP,广西壮族自治区南宁市,0.9秒,2015-05-18 03:30:24,
113.120.220.174,9797,透明,HTTP,山东省 潍坊市,2秒,2015-05-18 02:30:41,
219.217.227.93,3128,透明,HTTP,黑龙江省 哈尔滨市,1秒,2015-05-18 01:31:03,
163.125.73.63,9999,透明,HTTP,广东省 深圳市,3秒,2015-05-18 00:31:04,
119.122.104.36,9797,透明,HTTP,广东省 深圳市,3秒,2015-05-17 23:30:24,
58.250.246.7,9797,透明,HTTP,广东省 深圳市,3秒,2015-05-17 22:30:36,
221.205.212.47,9797,透明,HTTP,山西省 临汾市,1秒,2015-05-17 21:30:24,
36.42.134.56,80,透明,HTTP,陕西省 西安市,3秒,2015-05-17 20:30:49,
49.94.131.82,80,透明,HTTP,江苏省 南京市,1秒,2015-05-17 19:31:01,
49.90.20.236,3128,透明,HTTP,江苏省 南京市,3秒,2015-05-17 18:30:52,
49.93.192.38,80,透明,HTTP,江苏省 南京市,2秒,2015-05-17 17:31:02,
116.30.114.195,9999,透明,HTTP,广东省 深圳市,2秒,2015-05-17 16:30:53,
219.135.191.141,9797,透明,HTTP,广东省 广州市,3秒,2015-05-17 15:31:04,
49.91.3.250,80,透明,HTTP,江苏省 南京市,3秒,2015-05-17 14:30:40,
106.60.50.238,80,透明,HTTP,云南省 昆明市,1秒,2015-05-17 13:31:01,
117.37.239.57,80,透明,HTTP,陕西省 西安市,1秒,2015-05-17 12:31:00,
49.93.10.126,3128,透明,HTTP,江苏省 南京市,2秒,2015-05-17 11:31:01,
49.94.142.131,80,透明,HTTP,江苏省 南京市,3秒,2015-05-17 10:31:01,
163.125.70.125,8888,透明,HTTP,广东省 深圳市,1秒,2015-05-17 09:30:46,
171.82.18.213,80,透明,HTTP,湖北省 武汉市,0.7秒,2015-05-17 08:30:52,
110.176.0.179,3128,透明,HTTP,山西省 太原市,1秒,2015-05-17 07:31:01,
118.81.70.232,9797,透明,HTTP,山西省 太原市,1秒,2015-05-17 06:30:58,
49.94.146.112,3128,透明,HTTP,江苏省 南京市,2秒,2015-05-17 05:31:00,
1.183.218.3,8080,透明,HTTP,内蒙古 内蒙古自治区呼和浩特市,0.8秒,2015-05-17 04:30:44,
163.142.241.157,8080,透明,HTTP,广东省 佛山市,3秒,2015-05-17 03:30:41,
49.90.19.54,80,透明,HTTP,江苏省 南京市,3秒,2015-05-17 02:30:55,
58.250.245.220,9999,透明,HTTP,广东省 深圳市,2秒,2015-05-17 01:30:22,
163.125.209.114,9797,透明,HTTP,广东省 深圳市,2秒,2015-05-17 00:31:01,
163.125.70.63,8888,透明,HTTP,广东省 深圳市,3秒,2015-05-16 23:30:50,
49.90.14.62,80,透明,HTTP,江苏省 南京市,2秒,2015-05-16 22:30:49,
119.134.18.250,9999,透明,HTTP,广东省 茂名市,1秒,2015-05-16 21:30:31,
114.228.230.227,9999,透明,HTTP,江苏省 常州市,0.9秒,2015-05-16 20:30:33,
49.93.40.113,3128,透明,HTTP,江苏省 南京市,1秒,2015-05-16 19:30:30,
183.11.246.4,9000,透明,HTTP,广东省 深圳市,0.6秒,2015-05-16 18:31:04,
171.82.122.64,80,透明,HTTP,湖北省 武汉市,3秒,2015-05-16 17:30:59,
49.90.40.76,3128,透明,HTTP,江苏省 南京市,1秒,2015-05-16 16:30:55,
27.46.21.231,8888,透明,HTTP,广东省 深圳市,0.5秒,2015-05-16 15:31:01,
106.34.40.168,3128,透明,HTTP,河南省 郑州市,3秒,2015-05-16 14:31:01,
49.94.147.3,80,透明,HTTP,江苏省 南京市,1秒,2015-05-16 13:30:56,
49.93.223.190,3128,透明,HTTP,江苏省 南京市,0.6秒,2015-05-16 12:30:59,
110.176.129.244,80,透明,HTTP,山西省 太原市,1秒,2015-05-16 11:30:55,
1.183.218.105,8080,透明,HTTP,内蒙古 内蒙古自治区呼和浩特市,3秒,2015-05-16 10:31:01,
221.15.254.62,9797,透明,HTTP,河南省 郑州市,1秒,2015-05-16 09:30:47,
59.36.149.55,9797,透明,HTTP,广东省 东莞市,0.6秒,2015-05-16 08:31:00,
113.247.9.149,9999,透明,HTTP,湖南省 长沙市,3秒,2015-05-16 07:30:58,
183.185.94.89,9797,透明,HTTP,山西省 太原市,1秒,2015-05-16 06:30:53,
119.127.228.205,9999,透明,HTTP,广东省 东莞市,1秒,2015-05-16 05:30:21,
116.30.114.195,9999,透明,HTTP,广东省 深圳市,2秒,2015-05-16 04:30:52,
14.117.1.77,9999,透明,HTTP,广东省 珠海市,3秒,2015-05-16 03:30:53,
112.95.205.29,8888,透明,HTTP,广东省 深圳市,3秒,2015-05-16 02:30:47,
117.12.165.148,9999,透明,HTTP,天津市,3秒,2015-05-16 01:30:31,
110.176.39.161,3128,透明,HTTP,山西省 太原市,0.3秒,2015-05-16 00:30:55,
183.31.216.176,9797,透明,HTTP,广东省 珠海市,1秒,2015-05-15 23:30:39,
14.223.49.76,9000,透明,HTTP,广东省 佛山市,0.6秒,2015-05-15 22:30:48,
183.40.131.148,3128,透明,HTTP,广东省 广州市,2秒,2015-05-15 21:30:43,
113.77.204.64,9797,透明,HTTP,广东省 东莞市,3秒,2015-05-15 20:31:02,
116.24.102.4,9797,透明,HTTP,广东省 深圳市,2秒,2015-05-15 19:30:59,
49.93.40.124,3128,透明,HTTP,江苏省 南京市,3秒,2015-05-15 18:30:44,
14.26.46.110,3128,透明,HTTP,广东省 广州市,2秒,2015-05-15 17:30:31,
49.93.33.94,3128,透明,HTTP,江苏省 南京市,3秒,2015-05-15 16:30:52,
14.218.83.33,9797,透明,HTTP,广东省 东莞市,3秒,2015-05-15 15:31:01,
183.23.181.117,9999,透明,HTTP,广东省 东莞市,1秒,2015-05-15 14:30:36,
116.24.59.210,9999,透明,HTTP,广东省 深圳市,1秒,2015-05-15 13:31:02,
163.125.119.54,9999,透明,HTTP,广东省 深圳市,1秒,2015-05-15 12:31:00,
125.70.160.35,9999,透明,HTTP,四川省 成都市,0.5秒,2015-05-15 11:31:00,
183.45.93.172,9999,透明,HTTP,广东省 珠海市,0.8秒,2015-05-15 10:30:42,
125.70.162.24,9999,透明,HTTP,四川省 成都市,3秒,2015-05-15 09:30:22,
125.70.162.24,9999,透明,HTTP,四川省 成都市,0.4秒,2015-05-15 08:30:32,
116.2.194.172,8080,透明,HTTP,辽宁省 沈阳市,1秒,2015-05-15 07:30:45,
27.46.40.53,9797,透明,HTTP,广东省 深圳市,1秒,2015-05-15 06:30:39,
119.128.31.105,9797,透明,HTTP,广东省 东莞市,3秒,2015-05-15 05:30:26,
14.112.64.198,9797,透明,HTTP,广东省 惠州市,3秒,2015-05-15 04:30:53,
120.83.56.209,80,透明,HTTP,广东省 清远市,2秒,2015-05-15 03:30:18,
221.205.89.219,9797,透明,HTTP,山西省 大同市,2秒,2015-05-15 02:31:00,
221.15.253.231,9797,透明,HTTP,河南省 郑州市,0.9秒,2015-05-15 01:30:38,
1.183.219.123,8080,透明,HTTP,内蒙古 内蒙古自治区呼和浩特市,2秒,2015-05-15 00:30:52,
113.69.80.14,9000,透明,HTTP,广东省 佛山市,0.3秒,2015-05-14 23:30:51,
119.122.107.130,9797,透明,HTTP,广东省 深圳市,3秒,2015-05-14 22:31:03,
115.235.181.130,8080,透明,HTTP,浙江省 温州市,3秒,2015-05-14 21:31:00,
58.255.30.242,9797,透明,HTTP,广东省 惠州市,2秒,2015-05-14 20:30:21,
183.26.177.30,9999,透明,HTTP,广东省 佛山市,2秒,2015-05-14 19:30:54,
14.153.151.186,9999,透明,HTTP,广东省 深圳市,1秒,2015-05-14 18:30:43,
112.93.76.71,8080,透明,HTTP,广东省 佛山市,1秒,2015-05-14 17:30:48,
120.9.184.221,9999,透明,HTTP,河北省 邯郸市,1秒,2015-05-14 16:30:44,
119.103.51.25,3128,透明,HTTP,湖北省 武汉市,0.9秒,2015-05-14 15:30:54,
117.22.56.101,8080,透明,HTTP,陕西省 西安市,0.9秒,2015-05-14 14:30:59,
163.125.126.247,9999,透明,HTTP,广东省 深圳市,3秒,2015-05-14 13:30:54,
124.126.154.126,9000,透明,HTTP,北京市,2秒,2015-05-14 12:29:14,
123.163.122.49,9999,透明,HTTP,河南省 鹤壁市,0.5秒,2015-05-14 11:30:41,
106.127.139.49,9000,透明,HTTP,广西壮族自治区来宾市,2秒,2015-05-14 10:30:30,
116.25.7.8,9000,透明,HTTP,广东省 深圳市,1秒,2015-05-14 09:30:57,
58.251.171.82,9797,透明,HTTP,广东省 深圳市,3秒,2015-05-14 08:31:00,
113.109.116.48,9797,透明,HTTP,广东省 广州市,3秒,2015-05-14 07:30:59,
163.125.204.201,9999,透明,HTTP,广东省 深圳市,2秒,2015-05-14 06:30:26,
113.109.127.29,9999,透明,HTTP,广东省 广州市,2秒,2015-05-14 05:30:48,
115.60.129.200,9999,透明,HTTP,河南省 郑州市,2秒,2015-05-14 04:31:00,
27.46.20.220,8888,透明,HTTP,广东省 深圳市,1秒,2015-05-14 03:30:48,
116.24.59.210,9999,透明,HTTP,广东省 深圳市,0.5秒,2015-05-14 02:30:16,
112.95.85.232,8888,透明,HTTP,广东省 深圳市,2秒,2015-05-14 01:30:08,
118.81.177.8,9797,透明,HTTP,山西省 太原市,3秒,2015-05-14 00:30:58,
219.131.240.34,9999,透明,HTTP,广东省 珠海市,0.4秒,2015-05-13 23:30:55,
116.25.240.170,9797,透明,HTTP,广东省 深圳市,0.6秒,2015-05-13 22:30:54,
122.72.21.65,80,透明,HTTP,,2秒,2015-05-13 21:31:01,
163.125.22.190,9797,透明,HTTP,广东省 深圳市,3秒,2015-05-13 20:30:44,
110.73.13.244,80,透明,HTTP,广西壮族自治区南宁市,2秒,2015-05-13 19:31:00,
219.131.172.82,9797,透明,HTTP,广东省 云浮市,1秒,2015-05-13 18:30:48,
113.113.13.142,3128,透明,HTTP,广东省 深圳市,0.9秒,2015-05-13 17:30:57,
14.156.153.38,9999,透明,HTTP,广东省 东莞市,1秒,2015-05-13 16:31:03,
111.192.41.70,9000,透明,HTTP,北京市,0.6秒,2015-05-13 15:30:33,
60.2.147.78,9797,透明,HTTP,河北省 唐山市,2秒,2015-05-13 14:31:01,
163.125.17.174,9000,透明,HTTP,广东省 深圳市,1秒,2015-05-13 13:31:03,
183.49.19.161,9797,透明,HTTP,广东省 深圳市,2秒,2015-05-13 12:30:20,
124.200.184.162,8080,透明,HTTP,北京市,2秒,2015-05-13 11:31:04,
121.13.242.2,9797,透明,HTTP,广东省 东莞市,2秒,2015-05-13 10:30:37,
1.183.219.161,8080,透明,HTTP,内蒙古 内蒙古自治区呼和浩特市,0.7秒,2015-05-13 09:30:40,
116.7.170.234,9797,透明,HTTP,广东省 珠海市,2秒,2015-05-13 08:30:29,
49.94.147.214,3128,透明,HTTP,江苏省 南京市,0.9秒,2015-05-13 07:30:39,
163.125.253.237,9999,透明,HTTP,广东省 深圳市,1秒,2015-05-13 06:30:44,
60.209.20.90,9797,透明,HTTP,山东省 青岛市,1秒,2015-05-13 05:31:00,
27.46.46.31,9797,透明,HTTP,广东省 深圳市,1秒,2015-05-13 04:30:54,
61.145.162.21,9999,透明,HTTP,广东省 深圳市,0.7秒,2015-05-13 03:31:00,
222.137.15.39,9999,透明,HTTP,河南省 郑州市,0.7秒,2015-05-13 02:31:00,
113.109.111.186,9797,透明,HTTP,广东省 广州市,0.7秒,2015-05-13 01:30:09,
14.153.153.37,9797,透明,HTTP,广东省 深圳市,3秒,2015-05-13 00:30:49,
114.83.6.25,9797,透明,HTTP,上海市,3秒,2015-05-12 23:31:01,
163.125.206.25,9797,透明,HTTP,广东省 深圳市,0.5秒,2015-05-12 22:30:48,
171.108.168.61,9000,透明,HTTP,广西壮族自治区柳州市,1秒,2015-05-12 21:30:56,
121.34.168.161,9999,透明,HTTP,广东省 深圳市,0.8秒,2015-05-12 20:30:49,
219.159.186.68,9797,透明,HTTP,广西壮族自治区防城港市,2秒,2015-05-12 19:31:01,
163.125.146.149,9999,透明,HTTP,广东省 深圳市,3秒,2015-05-12 18:31:01,
118.232.50.189,8080,透明,HTTP,台湾省,1秒,2015-05-12 17:30:46,
120.87.127.116,8080,透明,HTTP,广东省 佛山市,3秒,2015-05-12 16:31:01,
27.46.46.20,9797,透明,HTTP,广东省 深圳市,1秒,2015-05-12 15:30:47,
182.205.184.22,3128,透明,HTTP,辽宁省 沈阳市,0.9秒,2015-05-12 14:30:33,
112.253.6.182,8080,透明,HTTP,山东省 潍坊市,1秒,2015-05-12 13:31:04,
119.140.152.239,9999,透明,HTTP,广东省 潮州市,2秒,2015-05-12 12:30:52,
218.75.205.72,9999,透明,HTTP,湖南省 株洲市,3秒,2015-05-12 11:31:01,
219.134.85.194,9000,透明,HTTP,广东省 深圳市,3秒,2015-05-12 10:31:04,
163.125.216.117,9999,透明,HTTP,广东省 深圳市,1秒,2015-05-12 09:30:32,
42.97.157.123,80,透明,HTTP,吉林省 长春市,0.7秒,2015-05-12 08:30:18,
111.13.12.216,80,透明,HTTP,北京市,1秒,2015-05-12 07:31:01,
219.137.182.196,9797,透明,HTTP,广东省 广州市,0.7秒,2015-05-12 06:31:01,
59.39.214.249,9999,透明,HTTP,广东省 东莞市,2秒,2015-05-12 05:31:00,
124.161.94.8,80,透明,HTTP,四川省 南充市,1秒,2015-05-12 04:31:01,
113.96.9.33,9999,透明,HTTP,广东省 广州市,2秒,2015-05-12 03:31:01,
163.125.159.8,8888,透明,HTTP,广东省 深圳市,3秒,2015-05-12 02:30:43,
180.166.55.42,3128,透明,HTTP,上海市,3秒,2015-05-12 01:31:03,
125.123.108.13,8088,透明,HTTP,浙江省 嘉兴市,0.5秒,2015-05-12 00:30:59,
125.123.108.13,8088,透明,HTTP,浙江省 嘉兴市,3秒,2015-05-11 23:30:29,
