IP,PORT,匿名度,类型,位置,响应速度,最后验证时间
27.28.242.167,9000,高匿名,HTTP,湖北省 十堰市,1秒,2015-05-23 08:30:58,
117.176.41.240,8123,高匿名,HTTP,四川省 巴中市,1秒,2015-05-23 07:30:20,
117.173.120.92,8123,高匿名,HTTP,四川省 广元市,0.9秒,2015-05-23 06:31:01,
222.240.34.20,9000,高匿名,HTTP,湖南省 长沙市,1秒,2015-05-23 05:30:51,
115.228.105.76,3128,高匿名,HTTP,浙江省 嘉兴市,1秒,2015-05-23 04:30:34,
125.123.84.210,3128,高匿名,HTTP,浙江省 嘉兴市,2秒,2015-05-23 03:30:43,
117.171.12.37,8123,高匿名,HTTP,江西省 南昌市,3秒,2015-05-23 02:30:51,
117.177.181.126,8123,高匿名,HTTP,四川省 内江市,2秒,2015-05-23 01:30:36,
119.96.232.67,8090,高匿名,HTTP,湖北省 武汉市,0.6秒,2015-05-23 00:30:49,
223.166.222.28,8090,高匿名,HTTP,上海市,2秒,2015-05-22 23:31:01,
182.246.38.137,8090,高匿名,HTTP,云南省,2秒,2015-05-22 22:30:46,
182.100.227.93,9000,高匿名,HTTP,江西省 吉安市,0.9秒,2015-05-22 21:31:01,
59.78.51.52,37564,高匿名,HTTP,上海市,1秒,2015-05-22 20:30:43,
59.63.39.240,9000,高匿名,HTTP,江西省 景德镇市,1秒,2015-05-22 19:31:01,
219.142.192.196,407,高匿名,HTTP,北京市,3秒,2015-05-22 18:31:01,
1.56.131.139,8090,高匿名,HTTP,黑龙江省 牡丹江市,3秒,2015-05-22 17:30:54,
183.222.159.181,8123,高匿名,HTTP,四川省 雅安市,0.5秒,2015-05-22 16:30:40,
223.94.128.251,8123,高匿名,HTTP,浙江省 台州市,1秒,2015-05-22 15:31:01,
117.87.175.163,9000,高匿名,HTTP,江苏省 徐州市,1秒,2015-05-22 14:30:43,
59.55.183.79,9000,高匿名,HTTP,江西省 吉安市,0.4秒,2015-05-22 13:30:52,
1.80.164.134,8090,高匿名,HTTP,陕西省 西安市,3秒,2015-05-22 12:30:58,
183.223.243.88,8123,高匿名,HTTP,四川省,3秒,2015-05-22 11:30:50,
117.162.103.235,8123,高匿名,HTTP,江西省 鹰潭市,2秒,2015-05-22 10:30:55,
60.161.0.88,8090,高匿名,HTTP,云南省,0.4秒,2015-05-22 09:30:58,
112.112.138.178,8090,高匿名,HTTP,云南省 昆明市,3秒,2015-05-22 08:30:50,
117.166.152.116,8123,高匿名,HTTP,江西省 南昌市,2秒,2015-05-22 07:30:14,
183.223.201.113,8123,高匿名,HTTP,四川省 雅安市,2秒,2015-05-22 06:30:55,
183.140.165.231,3128,高匿名,HTTP,浙江省 嘉兴市,3秒,2015-05-22 05:30:50,
219.142.192.196,4887,高匿名,HTTP,北京市,3秒,2015-05-22 04:31:01,
125.117.124.10,9000,高匿名,HTTP,浙江省 金华市,2秒,2015-05-22 03:31:01,
175.184.167.23,8090,高匿名,HTTP,青海省 西宁市,1秒,2015-05-22 02:30:46,
115.228.107.19,3128,高匿名,HTTP,浙江省 嘉兴市,1秒,2015-05-22 01:31:01,
113.124.13.194,8090,高匿名,HTTP,山东省 青岛市,0.9秒,2015-05-22 00:30:59,
183.220.199.211,8123,高匿名,HTTP,四川省 广元市,3秒,2015-05-21 23:30:55,
171.214.204.123,8090,高匿名,HTTP,四川省 成都市,2秒,2015-05-21 22:30:56,
121.33.85.147,8090,高匿名,HTTP,广东省 广州市,2秒,2015-05-21 21:30:57,
106.5.25.26,9000,高匿名,HTTP,江西省 吉安市,1秒,2015-05-21 20:30:55,
219.140.136.18,8090,高匿名,HTTP,湖北省 武汉市,2秒,2015-05-21 19:30:47,
112.26.164.12,8123,高匿名,HTTP,安徽省,3秒,2015-05-21 18:31:01,
183.223.36.251,8123,高匿名,HTTP,四川省 雅安市,0.5秒,2015-05-21 17:31:01,
211.141.130.112,8118,高匿名,HTTP,江西省 赣州市,2秒,2015-05-21 16:30:50,
106.5.27.84,9000,高匿名,HTTP,江西省 吉安市,3秒,2015-05-21 15:31:01,
113.237.241.30,8090,高匿名,HTTP,辽宁省 辽阳市,1秒,2015-05-21 14:30:57,
221.235.80.4,8090,高匿名,HTTP,湖北省 武汉市,2秒,2015-05-21 13:31:01,
59.36.50.25,8090,高匿名,HTTP,广东省 东莞市,2秒,2015-05-21 12:30:52,
125.77.139.115,8090,高匿名,HTTP,福建省 厦门市,3秒,2015-05-21 11:30:58,
182.201.0.48,8090,高匿名,HTTP,辽宁省 大连市,1秒,2015-05-21 10:30:57,
211.141.130.108,8118,高匿名,HTTP,江西省 赣州市,2秒,2015-05-21 09:30:47,
115.228.104.52,3128,高匿名,HTTP,浙江省 嘉兴市,1秒,2015-05-21 08:30:56,
112.44.33.194,8123,高匿名,HTTP,四川省 成都市,3秒,2015-05-21 07:30:53,
115.227.193.222,3128,高匿名,HTTP,浙江省 嘉兴市,1秒,2015-05-21 06:31:01,
139.226.112.229,8090,高匿名,HTTP,上海市,1秒,2015-05-21 05:31:01,
119.96.233.213,8090,高匿名,HTTP,湖北省 武汉市,3秒,2015-05-21 04:30:57,
182.113.115.162,8090,高匿名,HTTP,河南省 许昌市,3秒,2015-05-21 03:30:53,
183.140.161.127,3128,高匿名,HTTP,浙江省 嘉兴市,0.7秒,2015-05-21 02:30:57,
59.63.19.89,9000,高匿名,HTTP,江西省 景德镇市,0.7秒,2015-05-21 01:30:56,
110.73.5.238,8123,高匿名,HTTP,广西壮族自治区南宁市,2秒,2015-05-21 00:30:57,
60.161.20.69,8090,高匿名,HTTP,云南省,1秒,2015-05-20 23:31:01,
183.141.69.21,3128,高匿名,HTTP,浙江省 嘉兴市,1秒,2015-05-20 22:30:39,
117.172.78.153,8123,高匿名,HTTP,四川省 攀枝花市,3秒,2015-05-20 21:30:58,
183.222.164.43,8123,高匿名,HTTP,四川省 雅安市,2秒,2015-05-20 20:30:49,
117.139.29.206,8123,高匿名,HTTP,四川省 广元市,1秒,2015-05-20 19:30:49,
223.85.83.207,8123,高匿名,HTTP,四川省,1秒,2015-05-20 18:30:57,
115.193.172.45,8090,高匿名,HTTP,浙江省 杭州市,3秒,2015-05-20 17:30:56,
125.119.98.126,8090,高匿名,HTTP,浙江省 杭州市,0.5秒,2015-05-20 16:30:55,
27.155.150.94,8090,高匿名,HTTP,福建省 福州市,2秒,2015-05-20 15:30:48,
110.90.206.63,8090,高匿名,HTTP,福建省 福州市,3秒,2015-05-20 14:30:59,
112.19.0.103,8123,高匿名,HTTP,四川省 广元市,0.9秒,2015-05-20 13:30:47,
183.141.71.98,3128,高匿名,HTTP,浙江省 嘉兴市,0.7秒,2015-05-20 12:31:00,
111.9.137.43,8123,高匿名,HTTP,四川省 广安市,1秒,2015-05-20 11:31:01,
139.227.112.6,8090,高匿名,HTTP,上海市,0.5秒,2015-05-20 10:31:01,
112.64.30.191,8090,高匿名,HTTP,上海市,3秒,2015-05-20 09:30:56,
122.237.235.79,8090,高匿名,HTTP,浙江省 绍兴市,0.6秒,2015-05-20 08:30:45,
49.68.29.164,9000,高匿名,HTTP,江苏省 徐州市,3秒,2015-05-20 07:31:00,
221.235.81.184,8090,高匿名,HTTP,湖北省 武汉市,0.4秒,2015-05-20 06:30:50,
112.44.32.22,8123,高匿名,HTTP,四川省 成都市,1秒,2015-05-20 05:30:55,
219.142.192.196,14,高匿名,HTTP,北京市,1秒,2015-05-20 04:31:01,
222.140.62.235,8090,高匿名,HTTP,河南省 许昌市,1秒,2015-05-20 03:31:00,
139.226.113.231,8090,高匿名,HTTP,上海市,3秒,2015-05-20 02:30:56,
116.231.108.147,8090,高匿名,HTTP,上海市,2秒,2015-05-20 01:31:01,
49.94.33.12,3128,高匿名,HTTP,江苏省 南京市,3秒,2015-05-20 00:31:01,
183.141.76.139,3128,高匿名,HTTP,浙江省 嘉兴市,2秒,2015-05-19 23:31:01,
123.9.164.118,8090,高匿名,HTTP,河南省 许昌市,1秒,2015-05-19 22:30:41,
14.106.245.1,80,高匿名,HTTP,重庆市,3秒,2015-05-19 21:30:57,
223.151.208.191,9000,高匿名,HTTP,湖南省 常德市,2秒,2015-05-19 20:31:01,
118.229.239.7,8118,高匿名,HTTP,北京市,3秒,2015-05-19 19:31:01,
114.37.184.26,8888,高匿名,HTTP,台湾省,0.4秒,2015-05-19 18:30:17,
113.124.63.89,8090,高匿名,HTTP,山东省 青岛市,1秒,2015-05-19 17:30:54,
219.137.247.240,8090,高匿名,HTTP,广东省 广州市,1秒,2015-05-19 16:30:57,
117.162.197.168,8123,高匿名,HTTP,江西省 宜春市,3秒,2015-05-19 15:30:45,
117.173.205.88,8123,高匿名,HTTP,四川省 攀枝花市,0.4秒,2015-05-19 14:30:59,
115.228.53.233,3128,高匿名,HTTP,浙江省 嘉兴市,0.4秒,2015-05-19 13:30:59,
59.55.182.130,9000,高匿名,HTTP,江西省 吉安市,2秒,2015-05-19 12:30:58,
112.195.86.128,9000,高匿名,HTTP,四川省 自贡市,3秒,2015-05-19 11:30:52,
218.92.227.171,19279,高匿名,HTTP,江苏省 盐城市,2秒,2015-05-19 10:31:01,
117.162.110.83,8123,高匿名,HTTP,江西省 鹰潭市,3秒,2015-05-19 09:31:01,
183.220.247.6,8123,高匿名,HTTP,四川省 雅安市,2秒,2015-05-19 08:30:39,
223.86.65.88,8123,高匿名,HTTP,四川省 雅安市,3秒,2015-05-19 07:30:49,
112.18.56.137,8123,高匿名,HTTP,四川省 广安市,3秒,2015-05-19 06:30:49,
117.176.4.78,8123,高匿名,HTTP,四川省 资阳市,1秒,2015-05-19 05:30:48,
116.52.16.145,8090,高匿名,HTTP,云南省 昆明市,2秒,2015-05-19 04:31:00,
112.195.86.204,9000,高匿名,HTTP,四川省 自贡市,0.5秒,2015-05-19 03:30:54,
218.240.157.205,80,高匿名,HTTP,北京市,2秒,2015-05-19 02:30:42,
123.245.6.112,8090,高匿名,HTTP,辽宁省 沈阳市,0.7秒,2015-05-19 01:30:57,
117.139.149.208,8123,高匿名,HTTP,四川省 成都市,3秒,2015-05-19 00:31:01,
27.192.42.181,8090,高匿名,HTTP,山东省 潍坊市,0.4秒,2015-05-18 23:30:48,
220.176.129.167,9000,高匿名,HTTP,江西省 吉安市,3秒,2015-05-18 22:30:53,
180.166.56.47,80,高匿名,HTTP,上海市,1秒,2015-05-18 21:30:54,
223.151.36.208,9000,高匿名,HTTP,湖南省 常德市,1秒,2015-05-18 20:31:00,
113.68.83.140,8090,高匿名,HTTP,广东省 广州市,0.7秒,2015-05-18 19:30:40,
117.177.176.115,8123,高匿名,HTTP,四川省 内江市,2秒,2015-05-18 18:30:59,
223.85.98.20,8123,高匿名,HTTP,四川省 绵阳市,3秒,2015-05-18 17:30:59,
117.162.232.139,8123,高匿名,HTTP,江西省 宜春市,2秒,2015-05-18 16:30:58,
182.100.225.76,9000,高匿名,HTTP,江西省 吉安市,2秒,2015-05-18 15:31:01,
117.162.255.194,8123,高匿名,HTTP,江西省 宜春市,2秒,2015-05-18 14:31:01,
183.220.106.80,8123,高匿名,HTTP,四川省 雅安市,1秒,2015-05-18 13:30:59,
117.175.111.153,8123,高匿名,HTTP,四川省 广元市,1秒,2015-05-18 12:30:59,
223.85.17.103,8123,高匿名,HTTP,四川省 广元市,1秒,2015-05-18 11:31:01,
112.18.64.153,8123,高匿名,HTTP,四川省 广安市,2秒,2015-05-18 10:30:52,
183.207.228.6,9003,高匿名,HTTP,江苏省 南京市,3秒,2015-05-18 09:31:01,
27.16.207.84,8090,高匿名,HTTP,湖北省 武汉市,2秒,2015-05-18 08:30:23,
39.188.32.107,8123,高匿名,HTTP,浙江省 宁波市,1秒,2015-05-18 07:30:54,
117.172.78.73,8123,高匿名,HTTP,四川省 攀枝花市,3秒,2015-05-18 06:30:46,
220.176.129.55,9000,高匿名,HTTP,江西省 吉安市,2秒,2015-05-18 05:30:23,
117.177.227.32,8123,高匿名,HTTP,四川省 雅安市,3秒,2015-05-18 04:30:49,
123.245.3.220,8090,高匿名,HTTP,辽宁省 沈阳市,3秒,2015-05-18 03:30:53,
120.203.149.163,8118,高匿名,HTTP,江西省 赣州市,1秒,2015-05-18 02:30:41,
117.21.221.3,9000,高匿名,HTTP,江西省 赣州市,3秒,2015-05-18 01:31:01,
183.222.166.62,8123,高匿名,HTTP,四川省 雅安市,2秒,2015-05-18 00:31:01,
117.162.107.163,8123,高匿名,HTTP,江西省 鹰潭市,3秒,2015-05-17 23:30:23,
117.162.135.218,8123,高匿名,HTTP,江西省 上饶市,1秒,2015-05-17 22:30:35,
183.220.192.164,8123,高匿名,HTTP,四川省 广元市,2秒,2015-05-17 21:30:22,
218.64.146.227,9000,高匿名,HTTP,江西省 萍乡市,1.0秒,2015-05-17 20:30:49,
112.26.164.39,8123,高匿名,HTTP,安徽省,1秒,2015-05-17 19:31:01,
114.224.133.179,8090,高匿名,HTTP,江苏省 无锡市,0.9秒,2015-05-17 18:31:01,
218.86.136.13,8090,高匿名,HTTP,贵州省 贵阳市,3秒,2015-05-17 17:31:01,
119.136.34.164,80,高匿名,HTTP,广东省 深圳市,0.6秒,2015-05-17 16:30:52,
219.140.136.114,8090,高匿名,HTTP,湖北省 武汉市,0.6秒,2015-05-17 15:31:01,
111.1.132.191,8123,高匿名,HTTP,浙江省 嘉兴市,2秒,2015-05-17 14:30:26,
113.248.75.17,8080,高匿名,HTTP,重庆市,1秒,2015-05-17 13:30:59,
59.55.182.203,9000,高匿名,HTTP,江西省 吉安市,3秒,2015-05-17 12:31:01,
119.96.232.148,8090,高匿名,HTTP,湖北省 武汉市,3秒,2015-05-17 11:31:01,
219.135.252.211,8090,高匿名,HTTP,广东省 广州市,2秒,2015-05-17 10:31:01,
171.109.58.128,8090,高匿名,HTTP,广西壮族自治区柳州市,1秒,2015-05-17 09:30:43,
223.86.132.244,8123,高匿名,HTTP,四川省 广安市,0.5秒,2015-05-17 08:30:35,
183.141.73.117,3128,高匿名,HTTP,浙江省 嘉兴市,2秒,2015-05-17 07:31:01,
112.19.0.207,8123,高匿名,HTTP,四川省 广元市,0.7秒,2015-05-17 06:30:56,
117.147.201.107,8123,高匿名,HTTP,浙江省 台州市,1秒,2015-05-17 05:30:52,
182.139.168.21,8090,高匿名,HTTP,四川省 成都市,1秒,2015-05-17 04:30:38,
223.86.209.51,8123,高匿名,HTTP,四川省 广元市,1秒,2015-05-17 03:30:38,
27.28.242.167,9000,高匿名,HTTP,湖北省 十堰市,0.7秒,2015-05-17 02:30:58,
122.246.148.68,8090,高匿名,HTTP,浙江省 宁波市,3秒,2015-05-17 01:30:50,
223.87.109.121,8123,高匿名,HTTP,四川省 巴中市,3秒,2015-05-17 00:31:01,
117.162.83.175,8123,高匿名,HTTP,江西省 吉安市,1秒,2015-05-16 23:30:49,
115.215.48.19,9000,高匿名,HTTP,浙江省 宁波市,1秒,2015-05-16 22:30:26,
117.162.245.238,8123,高匿名,HTTP,江西省 宜春市,1秒,2015-05-16 21:30:50,
117.162.175.100,8123,高匿名,HTTP,江西省 抚州市,1秒,2015-05-16 20:30:31,
123.245.133.12,8090,高匿名,HTTP,辽宁省 沈阳市,0.5秒,2015-05-16 19:30:41,
140.75.157.76,8090,高匿名,HTTP,山东省 青岛市,3秒,2015-05-16 18:31:01,
117.162.86.219,8123,高匿名,HTTP,江西省 吉安市,0.5秒,2015-05-16 17:30:55,
117.176.12.32,8123,高匿名,HTTP,四川省 资阳市,1秒,2015-05-16 16:30:51,
183.220.241.99,8123,高匿名,HTTP,四川省 雅安市,1秒,2015-05-16 15:31:01,
117.168.100.116,8123,高匿名,HTTP,江西省 南昌市,0.3秒,2015-05-16 14:31:00,
171.37.144.65,8090,高匿名,HTTP,广西壮族自治区南宁市,2秒,2015-05-16 13:30:16,
117.162.249.160,8123,高匿名,HTTP,江西省 宜春市,2秒,2015-05-16 12:30:56,
112.112.136.153,8090,高匿名,HTTP,云南省 昆明市,1秒,2015-05-16 11:31:01,
171.109.59.0,8090,高匿名,HTTP,广西壮族自治区柳州市,2秒,2015-05-16 10:30:58,
222.95.249.115,3128,高匿名,HTTP,江苏省 南京市,0.9秒,2015-05-16 09:30:44,
117.174.194.151,8123,高匿名,HTTP,四川省 广元市,2秒,2015-05-16 08:31:01,
117.177.169.66,8123,高匿名,HTTP,四川省 广元市,3秒,2015-05-16 07:30:55,
219.154.233.170,8090,高匿名,HTTP,河南省 信阳市,3秒,2015-05-16 06:31:00,
121.33.84.205,8090,高匿名,HTTP,广东省 广州市,0.5秒,2015-05-16 05:31:00,
117.175.108.124,8123,高匿名,HTTP,四川省 广元市,0.8秒,2015-05-16 04:30:47,
223.86.216.21,8123,高匿名,HTTP,四川省 广元市,2秒,2015-05-16 03:30:56,
183.247.195.123,8123,高匿名,HTTP,浙江省 台州市,3秒,2015-05-16 02:30:41,
123.154.240.203,9000,高匿名,HTTP,浙江省 温州市,1秒,2015-05-16 01:31:02,
117.168.59.236,8123,高匿名,HTTP,江西省 南昌市,2秒,2015-05-16 00:30:53,
112.19.121.141,8123,高匿名,HTTP,四川省 巴中市,2秒,2015-05-15 23:30:35,
116.231.97.246,8090,高匿名,HTTP,上海市,1秒,2015-05-15 22:30:47,
183.222.154.242,8123,高匿名,HTTP,四川省 雅安市,3秒,2015-05-15 21:30:53,
183.216.99.42,8123,高匿名,HTTP,江西省 南昌市,1秒,2015-05-15 20:30:56,
182.40.163.6,8090,高匿名,HTTP,山东省 青岛市,3秒,2015-05-15 19:31:00,
223.87.186.58,8123,高匿名,HTTP,四川省 资阳市,2秒,2015-05-15 18:31:01,
117.87.172.137,9000,高匿名,HTTP,江苏省 徐州市,3秒,2015-05-15 17:30:27,
116.27.57.91,8090,高匿名,HTTP,广东省 茂名市,2秒,2015-05-15 16:30:53,
112.45.113.27,8123,高匿名,HTTP,四川省 宜宾市,3秒,2015-05-15 15:31:01,
112.19.124.51,8123,高匿名,HTTP,四川省 巴中市,0.8秒,2015-05-15 14:30:55,
223.86.216.87,8123,高匿名,HTTP,四川省 广元市,1秒,2015-05-15 13:31:02,
223.86.142.171,8123,高匿名,HTTP,四川省 广安市,1秒,2015-05-15 12:30:57,
222.220.238.180,8090,高匿名,HTTP,云南省,3秒,2015-05-15 11:31:00,
117.147.236.186,8123,高匿名,HTTP,浙江省 台州市,1秒,2015-05-15 10:30:38,
182.254.211.14,10000,高匿名,HTTP,上海市,2秒,2015-05-15 09:30:59,
218.104.55.53,8123,高匿名,HTTP,江苏省 无锡市,3秒,2015-05-15 08:30:54,
111.175.86.112,8090,高匿名,HTTP,湖北省 武汉市,3秒,2015-05-15 07:30:53,
112.44.41.129,8123,高匿名,HTTP,四川省 成都市,0.6秒,2015-05-15 06:30:36,
117.147.227.48,8123,高匿名,HTTP,浙江省 台州市,1秒,2015-05-15 05:30:26,
117.177.45.176,8123,高匿名,HTTP,四川省 攀枝花市,3秒,2015-05-15 04:30:50,
218.64.147.83,9000,高匿名,HTTP,江西省 萍乡市,1秒,2015-05-15 03:30:43,
117.162.85.210,8123,高匿名,HTTP,江西省 吉安市,3秒,2015-05-15 02:31:00,
183.140.162.31,3128,高匿名,HTTP,浙江省 嘉兴市,2秒,2015-05-15 01:31:01,
223.86.70.214,8123,高匿名,HTTP,四川省 雅安市,2秒,2015-05-15 00:30:52,
122.246.148.77,8090,高匿名,HTTP,浙江省 宁波市,2秒,2015-05-14 23:30:58,
124.192.101.254,8001,高匿名,HTTP,北京市,2秒,2015-05-14 22:31:01,
112.112.137.53,8090,高匿名,HTTP,云南省 昆明市,1秒,2015-05-14 21:30:44,
117.174.201.5,8123,高匿名,HTTP,四川省 广元市,3秒,2015-05-14 20:30:19,
117.162.219.228,8123,高匿名,HTTP,江西省 宜春市,2秒,2015-05-14 19:30:50,
115.213.253.179,9000,高匿名,HTTP,浙江省 丽水市,3秒,2015-05-14 18:30:57,
223.87.188.215,8123,高匿名,HTTP,四川省 资阳市,1秒,2015-05-14 17:30:46,
183.141.78.53,3128,高匿名,HTTP,浙江省 嘉兴市,1秒,2015-05-14 16:31:01,
112.45.102.232,8123,高匿名,HTTP,四川省 宜宾市,3秒,2015-05-14 15:30:53,
39.182.150.119,8123,高匿名,HTTP,浙江省 台州市,1秒,2015-05-14 14:30:55,
218.204.143.194,8118,高匿名,HTTP,江西省 抚州市,2秒,2015-05-14 13:30:49,
111.9.135.170,8123,高匿名,HTTP,四川省 资阳市,3秒,2015-05-14 12:30:52,
171.212.141.170,8090,高匿名,HTTP,四川省 成都市,0.8秒,2015-05-14 11:30:54,
223.86.215.209,8123,高匿名,HTTP,四川省 广元市,3秒,2015-05-14 10:31:00,
112.18.198.144,8123,高匿名,HTTP,四川省 资阳市,2秒,2015-05-14 09:30:56,
117.162.85.111,8123,高匿名,HTTP,江西省 吉安市,3秒,2015-05-14 08:31:01,
117.162.247.60,8123,高匿名,HTTP,江西省 宜春市,3秒,2015-05-14 07:30:59,
219.137.135.72,8090,高匿名,HTTP,广东省 广州市,1秒,2015-05-14 06:30:45,
171.109.59.193,8090,高匿名,HTTP,广西壮族自治区柳州市,1秒,2015-05-14 05:30:58,
117.162.54.157,8123,高匿名,HTTP,江西省 南昌市,3秒,2015-05-14 04:30:57,
183.160.214.6,8090,高匿名,HTTP,安徽省 合肥市,3秒,2015-05-14 03:30:59,
112.45.119.125,8123,高匿名,HTTP,四川省 宜宾市,2秒,2015-05-14 02:30:16,
117.149.223.237,8123,高匿名,HTTP,浙江省 台州市,2秒,2015-05-14 01:30:33,
218.58.144.243,8090,高匿名,HTTP,山东省 烟台市,3秒,2015-05-14 00:31:00,
183.221.60.234,8123,高匿名,HTTP,四川省 攀枝花市,0.5秒,2015-05-13 23:30:50,
117.177.102.186,8123,高匿名,HTTP,四川省 资阳市,3秒,2015-05-13 22:30:47,
117.177.243.54,80,高匿名,HTTP,四川省 内江市,2秒,2015-05-13 21:31:01,
125.117.130.174,9000,高匿名,HTTP,浙江省 金华市,1秒,2015-05-13 20:30:43,
117.162.168.140,8123,高匿名,HTTP,江西省 抚州市,0.9秒,2015-05-13 19:30:59,
183.185.0.100,8090,高匿名,HTTP,山西省 太原市,3秒,2015-05-13 18:30:43,
117.177.169.218,8123,高匿名,HTTP,四川省 广元市,1秒,2015-05-13 17:31:00,
114.113.31.4,9999,高匿名,HTTP,北京市,1秒,2015-05-13 16:30:58,
112.18.77.221,8123,高匿名,HTTP,四川省 广安市,2秒,2015-05-13 15:30:52,
175.184.162.96,8090,高匿名,HTTP,青海省 西宁市,3秒,2015-05-13 14:31:01,
223.85.67.57,8123,高匿名,HTTP,四川省 巴中市,1秒,2015-05-13 13:31:01,
115.154.89.126,80,高匿名,HTTP,陕西省 西安市,1秒,2015-05-13 12:30:20,
183.221.147.113,8123,高匿名,HTTP,四川省 绵阳市,2秒,2015-05-13 11:31:02,
183.223.192.245,8123,高匿名,HTTP,四川省 雅安市,0.8秒,2015-05-13 10:30:30,
140.75.152.223,8090,高匿名,HTTP,山东省 青岛市,3秒,2015-05-13 09:30:45,
175.153.88.63,9000,高匿名,HTTP,四川省 自贡市,0.4秒,2015-05-13 08:31:01,
183.211.77.56,8123,高匿名,HTTP,江苏省 苏州市,0.6秒,2015-05-13 07:30:43,
218.64.136.157,9000,高匿名,HTTP,江西省 景德镇市,2秒,2015-05-13 06:30:55,
182.101.220.203,9000,高匿名,HTTP,江西省 吉安市,3秒,2015-05-13 05:31:01,
60.212.7.174,8090,高匿名,HTTP,山东省 烟台市,0.4秒,2015-05-13 04:30:57,
123.148.162.186,8090,高匿名,HTTP,浙江省 衢州市,2秒,2015-05-13 03:31:01,
36.224.143.230,8888,高匿名,HTTP,台湾省,2秒,2015-05-13 02:30:55,
171.214.204.75,8090,高匿名,HTTP,四川省 成都市,3秒,2015-05-13 01:30:48,
171.37.138.91,8090,高匿名,HTTP,广西壮族自治区南宁市,1秒,2015-05-13 00:31:00,
112.19.117.43,8123,高匿名,HTTP,四川省 巴中市,3秒,2015-05-12 23:31:00,
222.95.249.209,8090,高匿名,HTTP,江苏省 南京市,0.4秒,2015-05-12 22:30:55,
139.226.113.238,8090,高匿名,HTTP,上海市,3秒,2015-05-12 21:30:50,
183.221.185.98,8123,高匿名,HTTP,四川省 资阳市,2秒,2015-05-12 20:30:52,
115.228.49.201,3128,高匿名,HTTP,浙江省 嘉兴市,1秒,2015-05-12 19:31:01,
183.140.163.131,3128,高匿名,HTTP,浙江省 嘉兴市,0.6秒,2015-05-12 18:31:01,
112.18.50.107,8123,高匿名,HTTP,四川省 雅安市,3秒,2015-05-12 17:30:45,
183.223.79.110,8123,高匿名,HTTP,四川省 广元市,3秒,2015-05-12 16:31:01,
219.139.86.220,9000,高匿名,HTTP,湖北省 十堰市,3秒,2015-05-12 15:30:51,
111.9.74.172,8123,高匿名,HTTP,四川省,2秒,2015-05-12 14:30:31,
223.94.142.182,8123,高匿名,HTTP,浙江省 台州市,2秒,2015-05-12 13:30:17,
112.19.189.62,8123,高匿名,HTTP,四川省 攀枝花市,0.9秒,2015-05-12 12:30:51,
112.18.51.185,8123,高匿名,HTTP,四川省 雅安市,0.4秒,2015-05-12 11:31:01,
112.19.4.73,8123,高匿名,HTTP,四川省 广元市,0.9秒,2015-05-12 10:31:01,
